expense_date,expense_head,basis,building,amount,description
2025-10-31,Administrative Expenses,Common,,150000.00,"SHARAF-CAPITAL - PRE OPERATIVE EXP[CR,BROKERAGE & OTHER ASSETS]"
2025-10-31,Bank Insurance,Common,,6570.00,INSURANCE-DOHA BANK
2025-10-31,Building AC Maintenance,Building,AK-12,222.12,Building AC Maintenance
2025-10-31,Building AC Maintenance,Building,DAJ-21,988.72,Building AC Maintenance
2025-10-31,Building AC Maintenance,Building,MQ-56,182.85,Building AC Maintenance
2025-10-31,Building AC Maintenance,Building,MR-130,414.45,Building AC Maintenance
2025-10-31,Building AC Maintenance,Building,MT-21,243.79,Building AC Maintenance
2025-10-31,Building AC Maintenance,Building,OG-48,633.86,Building AC Maintenance
2025-10-31,Building AC Maintenance,Building,TV-20,211.29,Building AC Maintenance
2025-10-31,Building AC Maintenance,Building,TV-27,169.30,Building AC Maintenance
2025-10-31,Building AC Maintenance,Building,TV-66,170.66,Building AC Maintenance
2025-10-31,Building AC Maintenance,Building,TV-68,189.62,Building AC Maintenance
2025-10-31,Building AC Maintenance,Building,TWR-12,86.68,Building AC Maintenance
2025-10-31,Building AC Maintenance,Building,TWR-16,86.68,Building AC Maintenance
2025-10-31,Building AC Maintenance,Building,TWR-17,86.68,Building AC Maintenance
2025-10-31,Building AC Maintenance,Building,TWR-19,86.68,Building AC Maintenance
2025-10-31,Building AC Maintenance,Building,TWR-20,86.68,Building AC Maintenance
2025-10-31,Building AC Maintenance,Building,TWR-35,86.68,Building AC Maintenance
2025-10-31,Building AC Maintenance,Building,TWR-37,86.68,Building AC Maintenance
2025-10-31,Building AC Maintenance,Building,TWR-39,86.68,Building AC Maintenance
2025-10-31,Building AC Maintenance,Building,TWR-45,86.68,Building AC Maintenance
2025-10-31,Building AC Maintenance,Building,TWR-58,86.68,Building AC Maintenance
2025-10-31,Building AC Maintenance,Building,UG-169,243.79,Building AC Maintenance
2025-10-31,Building AC Maintenance,Building,UG-20,432.73,Building AC Maintenance
2025-10-31,Building Maintenance,Building,AK-12,620.78,Building Maintenance
2025-10-31,Building Maintenance,Building,AK-12,10.30,Building Maintenance
2025-10-31,Building Maintenance,Building,AK-12,30.25,Building Maintanance
2025-10-31,Building Maintenance,Building,DAJ-21,2763.23,Building Maintenance
2025-10-31,Building Maintenance,Building,DAJ-21,45.86,Building Maintenance
2025-10-31,Building Maintenance,Building,DAJ-21,134.66,Building Maintanance
2025-10-31,Building Maintenance,Building,MQ-56,511.01,Building Maintenance
2025-10-31,Building Maintenance,Building,MQ-56,8.48,Building Maintenance
2025-10-31,Building Maintenance,Building,MQ-56,24.90,Building Maintanance
2025-10-31,Building Maintenance,Building,MR-130,1158.29,Building Maintenance
2025-10-31,Building Maintenance,Building,MR-130,19.22,Building Maintenance
2025-10-31,Building Maintenance,Building,MR-130,56.45,Building Maintanance
2025-10-31,Building Maintenance,Building,MT-21,681.34,Building Maintenance
2025-10-31,Building Maintenance,Building,MT-21,11.31,Building Maintenance
2025-10-31,Building Maintenance,Building,MT-21,33.20,Building Maintanance
2025-10-31,Building Maintenance,Building,OG-48,1771.50,Building Maintenance
2025-10-31,Building Maintenance,Building,OG-48,29.40,Building Maintenance
2025-10-31,Building Maintenance,Building,OG-48,86.33,Building Maintanance
2025-10-31,Building Maintenance,Building,TV-20,590.50,Building Maintenance
2025-10-31,Building Maintenance,Building,TV-20,9.80,Building Maintenance
2025-10-31,Building Maintenance,Building,TV-20,28.78,Building Maintanance
2025-10-31,Building Maintenance,Building,TV-27,473.16,Building Maintenance
2025-10-31,Building Maintenance,Building,TV-27,7.85,Building Maintenance
2025-10-31,Building Maintenance,Building,TV-27,23.06,Building Maintanance
2025-10-31,Building Maintenance,Building,TV-66,476.94,Building Maintenance
2025-10-31,Building Maintenance,Building,TV-66,7.91,Building Maintenance
2025-10-31,Building Maintenance,Building,TV-66,23.24,Building Maintanance
2025-10-31,Building Maintenance,Building,TV-68,529.93,Building Maintenance
2025-10-31,Building Maintenance,Building,TV-68,8.79,Building Maintenance
2025-10-31,Building Maintenance,Building,TV-68,25.83,Building Maintanance
2025-10-31,Building Maintenance,Building,TWR-12,242.26,Building Maintenance
2025-10-31,Building Maintenance,Building,TWR-12,4.02,Building Maintenance
2025-10-31,Building Maintenance,Building,TWR-12,11.81,Building Maintanance
2025-10-31,Building Maintenance,Building,TWR-16,242.26,Building Maintenance
2025-10-31,Building Maintenance,Building,TWR-16,4.02,Building Maintenance
