building,period_label,period_end,is_lump_period,rent_charged,rent_received,owner_rent,kahrama,wifi,profit,rent_free
AK-12,Aug-Oct 2025,2025-10-31,1,0.00,0.00,0.00,395.66,15.55,-411.21,
AK-12,Nov 2025,2025-11-30,0,29800.00,29700.00,20000.00,395.66,15.55,9288.79,
AK-12,Dec 2025,2025-12-31,0,29800.00,29800.00,18000.00,395.66,15.55,11388.79,
AK-12,Jan 2026,2026-01-31,0,26400.00,26400.00,18000.00,395.66,15.55,7988.79,
AK-12,Feb 2026,2026-02-28,0,26400.00,26400.00,18000.00,395.66,15.55,7988.79,
AK-12,Mar 2026,2026-03-31,0,29400.00,29400.00,18000.00,395.66,15.55,10988.79,
AK-12,Apr 2026,2026-04-30,0,29400.00,23700.00,18000.00,395.66,15.55,5288.79,
AK-12,May 2026,2026-05-31,0,29400.00,23700.00,18000.00,395.66,15.55,5288.79,
AK-12,Jun 2026,2026-06-30,0,29400.00,26200.00,18000.00,395.66,15.55,7788.79,
AK-12,Jul 2026,2026-07-31,0,26400.00,26200.00,18000.00,395.66,15.55,7788.79,
DAJ-21,Aug-Oct 2025,2025-10-31,1,57900.00,57900.00,28000.00,1761.15,69.23,28069.62,
DAJ-21,Nov 2025,2025-11-30,0,98300.00,94400.00,78000.00,1761.15,69.23,14569.62,
DAJ-21,Dec 2025,2025-12-31,0,94200.00,85400.00,78000.00,1761.15,69.23,5569.62,
DAJ-21,Jan 2026,2026-01-31,0,91000.00,78800.00,78000.00,1761.15,69.23,-1030.38,
DAJ-21,Feb 2026,2026-02-28,0,94100.00,86900.00,78000.00,1761.15,69.23,7069.62,
DAJ-21,Mar 2026,2026-03-31,0,94100.00,86900.00,78000.00,1761.15,69.23,7069.62,
DAJ-21,Apr 2026,2026-04-30,0,98900.00,80000.00,78000.00,1761.15,69.23,169.62,
DAJ-21,May 2026,2026-05-31,0,94900.00,82724.00,78000.00,1761.15,69.23,2893.62,
DAJ-21,Jun 2026,2026-06-30,0,96910.00,77400.00,78000.00,1761.15,69.23,-2430.38,
DAJ-21,Jul 2026,2026-07-31,0,96900.00,84200.00,78000.00,1761.15,69.23,4369.62,
MQ-56,Aug-Oct 2025,2025-10-31,1,0.00,0.00,0.00,325.69,12.80,-338.50,
MQ-56,Nov 2025,2025-11-30,0,22600.00,22600.00,15000.00,325.69,12.80,7261.50,
MQ-56,Dec 2025,2025-12-31,0,22600.00,22600.00,15000.00,325.69,12.80,7261.50,
MQ-56,Jan 2026,2026-01-31,0,20500.00,20500.00,15000.00,325.69,12.80,5161.50,
MQ-56,Feb 2026,2026-02-28,0,22500.00,22500.00,15000.00,325.69,12.80,7161.50,
MQ-56,Mar 2026,2026-03-31,0,21100.00,21100.00,15000.00,325.69,12.80,5761.50,
