building,unit_no,status,unit_type,market_rent
AK-12,F-01,Vacant,,5000
AK-12,F-02,Vacant,,5700
AK-12,G-01,Vacant,,5000
AK-12,G-01A,Vacant,,3400
AK-12,G-01B,Vacant,1BR,3200
AK-12,O-01,Vacant,,2000
AK-12,P-01,Vacant,,2500
AK-12,P-02,Vacant,,3000
DAJ-21,F-01,Vacant,2BR,4200
DAJ-21,F-02,Vacant,2BR,4500
DAJ-21,F-04,Vacant,2BR,3800
DAJ-21,F-05,Vacant,2BR,4000
DAJ-21,F-06,Vacant,1BR,3500
DAJ-21,F-08,Vacant,2BR,4000
DAJ-21,F-09,Vacant,2BR,3600
DAJ-21,F-10,Vacant,2BR,4000
DAJ-21,F-12,Vacant,1BR,3400
DAJ-21,F-13,Vacant,2BR,4200
DAJ-21,F-14,Vacant,2BR,4000
DAJ-21,F-16,Vacant,2BR,4200
DAJ-21,F-18,Vacant,1BR,3600
DAJ-21,F-19,Vacant,2BR,4000
DAJ-21,F-20,Vacant,2BR,4200
DAJ-21,F-22,Vacant,2BR,4200
DAJ-21,F-23,Vacant,2BR,4200
DAJ-21,F-24,Vacant,1BR,3600
DAJ-21,F-25,Vacant,2BR,4200
DAJ-21,F-26,Vacant,2BR,4200
DAJ-21,F-28,Vacant,2BR,3900
DAJ-21,F-29,Vacant,2BR,4200
DAJ-21,F-31,Vacant,2BR,4000
DAJ-21,F-32,Vacant,2BR,4200
DAJ-21,F-34,Vacant,2BR,4000
MQ-56,F-01,Vacant,Studio,2100
MQ-56,F-02,Vacant,1BR,2100
MQ-56,F-03,Vacant,1BR,3000
MQ-56,G-01,Vacant,1BR,3200
MQ-56,G-02,Vacant,Studio,3000
MQ-56,G-03,Vacant,Studio,2000
MQ-56,O-01,Vacant,Studio,1800
MQ-56,O-02,Vacant,Studio,1400
MQ-56,P-01,Vacant,2BR,4000
MR-130,F-01,Vacant,2BR,5000
MR-130,F-02,Vacant,2BR,5000
MR-130,F-03,Vacant,2BR,4300
MR-130,F-04,Vacant,2BR,5000
MR-130,F-05,Vacant,2BR,5000
MR-130,F-06,Vacant,2BR,5800
MR-130,F-07,Vacant,2BR,5000
MR-130,F-08,Vacant,2BR,5000
MR-130,F-09,Vacant,2BR,5000
MR-130,F-10,Vacant,2BR,5000
MT-21,VILLA,Vacant,,28000
OG-48,F-01,Vacant,1BR,3500
OG-48,F-02,Vacant,1BR,3500
OG-48,F-03,Vacant,1BR,3600
OG-48,F-04,Vacant,1BR,3600
OG-48,F-05,Vacant,1BR,3600
OG-48,F-06,Vacant,1BR,3600
OG-48,F-07,Vacant,1BR,3300
OG-48,F-08,Vacant,1BR,3400
OG-48,F-09,Vacant,1BR,3600
OG-48,F-10,Vacant,1BR,3500
OG-48,F-11,Vacant,1BR,3600
OG-48,F-12,Vacant,1BR,3600
OG-48,F-13,Vacant,1BR,3600
OG-48,F-14,Vacant,1BR,3500
OG-48,F-15,Vacant,1BR,3500
OG-48,F-16,Vacant,1BR,3500
OG-48,F-17,Vacant,1BR,3500
OG-48,F-18,Vacant,1BR,3600
TV-20,F-01,Vacant,1BR,3500
TV-20,F-02,Vacant,1BR,4500
TV-20,F-03,Vacant,Studio,2200
TV-20,G-01,Vacant,2BR,4500
TV-20,G-02,Vacant,1BR,3400
TV-20,O-01,Vacant,Studio,1800
TV-20,O-02,Vacant,1BR,1800
TV-20,O-03,Vacant,Studio,1400
TV-20,P-01,Vacant,Studio,1700
TV-27,CABIN,Vacant,,0
TV-27,F-01,Vacant,1BR,3600
TV-27,F-02,Vacant,2BR,4600
TV-27,F-03,Vacant,1BR,4500
TV-27,F-04,Vacant,1BR,3600
TV-27,G-01,Vacant,2BR,5300
TV-27,G-02,Vacant,2BR,5500
TV-27,G-03,Vacant,,3500
TV-27,G-04,Vacant,,3500
TV-27,G-05,Vacant,,2400
TV-27,G-06,Vacant,,3500
TV-66,0-01,Vacant,,2300
TV-66,0-02,Vacant,,1350
TV-66,F-04,Vacant,1BR,2700
TV-66,F-05,Vacant,,2900
TV-66,F-06,Vacant,,2000
TV-66,G-01,Vacant,,2500
TV-66,G-02,Vacant,,2750
TV-66,G-03,Vacant,,2750
TV-66,P-01,Vacant,,2000
TV-68,0-01,Vacant,,2350
TV-68,0-02,Vacant,,0
TV-68,F-04,Vacant,,2700
TV-68,F-05,Vacant,1BR,3300
TV-68,F-06,Vacant,,1800
TV-68,G-01,Vacant,1BR,2300
TV-68,G-02,Vacant,,3000
TV-68,G-03,Vacant,,2700
TV-68,P-01,Vacant,,1650
TWR-12,F-01,Vacant,,1550
TWR-12,F-02,Vacant,,1400
TWR-12,F-03,Vacant,,1900
TWR-12,F-04,Vacant,,1350
TWR-12,F-05,Vacant,,2000
TWR-12,F-06,Vacant,,1700
TWR-12,F-07,Vacant,,2000
TWR-12,F-08,Vacant,,2500
TWR-12,F-09,Vacant,,1100
TWR-12,F-10,Vacant,,2500
TWR-12,F-11,Vacant,,1200
TWR-12,F-12,Vacant,,2250
TWR-12,F-13,Vacant,,2400
TWR-12,F-14,Vacant,,1500
TWR-12,F-15,Vacant,,1200
TWR-16,F-01,Vacant,,1850
TWR-16,F-02,Vacant,,1350
TWR-16,F-03,Vacant,,1500
TWR-16,F-04,Vacant,,1500
TWR-16,F-05,Vacant,,2400
TWR-16,F-06,Vacant,,1850
TWR-16,F-07,Vacant,,1850
TWR-16,F-08,Vacant,,2300
TWR-16,F-09,Vacant,,1200
TWR-16,F-10,Vacant,,2500
TWR-16,F-11,Vacant,,1100
TWR-16,F-12,Vacant,,2700
TWR-16,F-13,Vacant,,2400
TWR-16,F-14,Vacant,,1500
TWR-16,F-15,Vacant,,1300
TWR-17,F-01,Vacant,,1750
TWR-17,F-02,Vacant,,1200
TWR-17,F-02/1,Vacant,,1200
TWR-17,F-02/2,Vacant,,1100
TWR-17,F-03,Vacant,,1500
TWR-17,F-04,Vacant,,2300
TWR-17,F-05,Vacant,,2300
TWR-17,F-06,Vacant,,2000
TWR-17,F-07,Vacant,,2800
TWR-17,F-08,Vacant,,2800
TWR-17,F-09,Vacant,,2500
TWR-17,F-10,Vacant,,2700
TWR-17,F-11,Vacant,,2700
TWR-17,F-12,Vacant,,1400
TWR-17,F-13,Vacant,,1400
TWR-19,F-01,Vacant,,1750
TWR-19,F-02,Vacant,,1000
TWR-19,F-02/1,Vacant,,1000
TWR-19,F-02/2,Vacant,,1000
TWR-19,F-03,Vacant,,1500
TWR-19,F-04,Vacant,,2000
TWR-19,F-05,Vacant,,2000
TWR-19,F-06,Vacant,,2600
TWR-19,F-07,Vacant,,2800
TWR-19,F-08,Vacant,,2800
TWR-19,F-09,Vacant,,2500
TWR-19,F-10,Vacant,,2400
TWR-19,F-11,Vacant,,2000
TWR-19,F-12,Vacant,,1650
TWR-19,F-13,Vacant,,1650
TWR-20,F-01,Vacant,,1700
TWR-20,F-02,Vacant,,1600
TWR-20,F-03,Vacant,,1100
TWR-20,F-03/1,Vacant,,1100
TWR-20,F-03/2,Vacant,,950
TWR-20,F-04,Vacant,,2200
TWR-20,F-05,Vacant,,2350
TWR-20,F-06,Vacant,,2500
TWR-20,F-07,Vacant,,2500
TWR-20,F-08,Vacant,,2500
TWR-20,F-09,Vacant,,2500
TWR-20,F-10,Vacant,,2500
TWR-20,F-11,Vacant,,2500
TWR-20,F-12,Vacant,,1100
TWR-20,F-13,Vacant,,1300
TWR-20,F-14,Vacant,,0
TWR-20,F-15,Vacant,,1200
TWR-20,F-16,Vacant,,0
TWR-20,F-17,Vacant,,1000
TWR-20,F-18,Vacant,,1900
TWR-20,F-O/1,Vacant,,1100
TWR-20,F-O/2,Vacant,,1300
TWR-20,F-O/3,Vacant,,1000
TWR-20,F-O/4,Vacant,,1200
TWR-20,F-O/5,Vacant,,1100
TWR-20,F-O/6,Vacant,,1000
TWR-20,F-O/7,Vacant,,1900
TWR-35,F-01,Vacant,,1900
TWR-35,F-02,Vacant,,1600
TWR-35,F-03,Vacant,,2100
TWR-35,F-04,Vacant,,1950
TWR-35,F-05,Vacant,,2550
TWR-35,F-06,Vacant,,2400
TWR-35,F-07,Vacant,,2200
TWR-35,F-08,Vacant,,2050
TWR-35,F-09,Vacant,,2350
TWR-35,F-10,Vacant,,1700
TWR-35,F-11,Vacant,,1500
TWR-35,F-12,Vacant,,1700
TWR-35,F-13,Vacant,,1300
TWR-35,F-14,Vacant,,1250
TWR-35,F-15,Vacant,,1500
TWR-35,F-16,Vacant,,1200
TWR-37,F-01,Vacant,,1700
TWR-37,F-02,Vacant,,1150
TWR-37,F-03,Vacant,,1200
TWR-37,F-04,Vacant,,2200
TWR-37,F-05,Vacant,,2000
TWR-37,F-06,Vacant,,2200
TWR-37,F-07,Vacant,,2500
TWR-37,F-08,Vacant,,2500
TWR-37,F-09,Vacant,,2200
TWR-37,F-10,Vacant,,2800
TWR-37,F-11,Vacant,,1650
TWR-37,F-12,Vacant,,1250
TWR-37,F-13,Vacant,,1400
TWR-39,F-01,Vacant,,1900
TWR-39,F-02,Vacant,,1500
TWR-39,F-03,Vacant,,1700
TWR-39,F-04,Vacant,,1600
TWR-39,F-05,Vacant,,2150
TWR-39,F-06,Vacant,,1700
TWR-39,F-07,Vacant,,2000
TWR-39,F-08,Vacant,,2300
TWR-39,F-09,Vacant,,1300
TWR-39,F-10,Vacant,,2200
TWR-39,F-11,Vacant,,1150
TWR-39,F-12,Vacant,,2400
TWR-39,F-13,Vacant,,2500
TWR-39,F-14,Vacant,,1500
TWR-39,F-15,Vacant,,1550
TWR-45,F-01,Vacant,,1700
TWR-45,F-02,Vacant,,1350
TWR-45,F-03,Vacant,,1750
TWR-45,F-04,Vacant,,1300
TWR-45,F-05,Vacant,,2000
TWR-45,F-06,Vacant,,1800
TWR-45,F-07,Vacant,,1900
TWR-45,F-08,Vacant,,2000
TWR-45,F-09,Vacant,,1400
TWR-45,F-10,Vacant,,2900
TWR-45,F-11,Vacant,,2150
TWR-45,F-12,Vacant,,2400
TWR-45,F-13,Vacant,,1500
TWR-45,F-14,Vacant,,1600
TWR-58,F-01,Vacant,,1800
TWR-58,F-02,Vacant,,1800
TWR-58,F-03,Vacant,,1450
TWR-58,F-04,Vacant,,2400
TWR-58,F-05,Vacant,,1850
TWR-58,F-06,Vacant,,2500
TWR-58,F-07,Vacant,,2500
TWR-58,F-08,Vacant,,2500
TWR-58,F-09,Vacant,,2450
TWR-58,F-10,Vacant,,2500
TWR-58,F-11,Vacant,,1600
TWR-58,F-12,Vacant,,1500
UG-169,F-01/3,Vacant,,6500
UG-169,F-01/FB,Vacant,,7000
UG-169,F-01/FF,Vacant,,6800
UG-169,F-01/S,Vacant,,7000
UG-169,F-02/SF,Vacant,,6800
UG-169,F-02/T,Vacant,,6500
UG-169,G-01/B,Vacant,,1900
UG-169,G-01/F,Vacant,,6500
UG-169,G-01/G,Vacant,,1800
UG-169,G-01/GF,Vacant,,6800
UG-169,G-02/B,Vacant,Studio,1200
UG-169,G-02/G,Vacant,,1000
UG-169,G-03/B,Vacant,Studio,2000
UG-169,G-04/B,Vacant,,1900
UG-169,G-05/B,Vacant,,1900
UG-20,F-01,Vacant,2BR,3700
UG-20,F-02,Vacant,,3500
UG-20,F-03,Vacant,,5000
UG-20,F-04,Vacant,,3600
UG-20,F-05,Vacant,,3600
UG-20,F-06,Vacant,,5300
UG-20,F-07,Vacant,,3600
UG-20,F-08,Vacant,,3600
UG-20,F-09,Vacant,,5300
UG-20,F-10,Vacant,,3500
UG-20,F-11,Vacant,,3700
UG-20,F-12,Vacant,,5200
UG-20,F-13,Vacant,,3600
UG-20,F-14,Vacant,,3600
UG-20,F-15,Vacant,3BR,5250
