sl_no,building,unit_no,tenant_label,month,rent,received,note
28,AK-12,G-01A,EMPTY,2026-01-01,0,0,Unit shown as VACANT/EMPTY. Cannot be invoiced without a party.
29,AK-12,G-01A,EMPTY,2026-02-01,0,0,Unit shown as VACANT/EMPTY. Cannot be invoiced without a party.
72,AK-12,P-02,VACANT,2026-07-01,0,0,Unit shown as VACANT/EMPTY. Cannot be invoiced without a party.
73,DAJ-21,F-01,EMPTY,2026-01-01,0,0,Unit shown as VACANT/EMPTY. Cannot be invoiced without a party.
81,DAJ-21,F-01,VACANT,2026-05-01,0,0,Unit shown as VACANT/EMPTY. Cannot be invoiced without a party.
109,DAJ-21,F-06,EMPTY,2026-01-01,0,0,Unit shown as VACANT/EMPTY. Cannot be invoiced without a party.
156,DAJ-21,F-13,VACANT,2026-05-01,3800,0,Unit shown as VACANT/EMPTY. Cannot be invoiced without a party.
182,DAJ-21,F-16,VACANT,2025-08-01,0,0,Unit shown as VACANT/EMPTY. Cannot be invoiced without a party.
183,DAJ-21,F-16,VACANT,2025-09-01,0,0,Unit shown as VACANT/EMPTY. Cannot be invoiced without a party.
204,DAJ-21,F-19,VACANT,2025-08-01,0,0,Unit shown as VACANT/EMPTY. Cannot be invoiced without a party.
216,DAJ-21,F-20,VACANT,2025-09-01,0,0,Unit shown as VACANT/EMPTY. Cannot be invoiced without a party.
217,DAJ-21,F-22,EMPTY,2026-02-01,0,0,Unit shown as VACANT/EMPTY. Cannot be invoiced without a party.
218,DAJ-21,F-22,EMPTY,2026-03-01,0,0,Unit shown as VACANT/EMPTY. Cannot be invoiced without a party.
236,DAJ-21,F-23,VACANT,2025-08-01,0,0,Unit shown as VACANT/EMPTY. Cannot be invoiced without a party.
237,DAJ-21,F-23,VACANT,2025-09-01,0,0,Unit shown as VACANT/EMPTY. Cannot be invoiced without a party.
255,DAJ-21,F-25,VACANT,2025-08-01,0,0,Unit shown as VACANT/EMPTY. Cannot be invoiced without a party.
270,DAJ-21,F-26,VACANT,2025-08-01,0,0,Unit shown as VACANT/EMPTY. Cannot be invoiced without a party.
291,DAJ-21,F-29,VACANT,2025-09-01,0,0,Unit shown as VACANT/EMPTY. Cannot be invoiced without a party.
312,DAJ-21,F-32,VACANT,2025-08-01,0,0,Unit shown as VACANT/EMPTY. Cannot be invoiced without a party.
331,MQ-56,F-02,EMPTY,2026-01-01,0,0,Unit shown as VACANT/EMPTY. Cannot be invoiced without a party.
384,MQ-56,O-01,VACANT,2026-07-01,0,0,Unit shown as VACANT/EMPTY. Cannot be invoiced without a party.
385,MQ-56,O-02,EMPTY,2026-03-01,0,0,Unit shown as VACANT/EMPTY. Cannot be invoiced without a party.
393,MQ-56,O-02,VACANT,2026-04-01,0,0,Unit shown as VACANT/EMPTY. Cannot be invoiced without a party.
438,MR-130,F-04,VACANT,2026-05-01,0,0,Unit shown as VACANT/EMPTY. Cannot be invoiced without a party.
446,MR-130,F-05,VACANT,2025-11-01,0,0,Unit shown as VACANT/EMPTY. Cannot be invoiced without a party.
447,MR-130,F-05,VACANT,2025-12-01,0,0,Unit shown as VACANT/EMPTY. Cannot be invoiced without a party.
