period_end,label,is_lump,building,rent_received,owner_rent,kahrama,wifi,profit
2025-10-31,Jul-Oct 2025,1,Doha Jadeed 21,57900.0,28000.0,0.0,0.0,29900.0
2025-10-31,Jul-Oct 2025,1,Thumama 20,39200.0,39000.0,0.0,300.0,-100.0
2025-10-31,Jul-Oct 2025,1,Thumama 66,25800.0,0.0,0.0,0.0,25800.0
2025-10-31,Jul-Oct 2025,1,Thumama 68,20700.0,14000.0,0.0,0.0,6700.0
2025-11-30,Nov 2025,0,Ain Khalid 12,29700.0,20000.0,0.0,0.0,9700.0
2025-11-30,Nov 2025,0,Doha Jadeed 21,97400.0,78000.0,0.0,0.0,19400.0
2025-11-30,Nov 2025,0,Mathar Qadeem 56,22600.0,15000.0,0.0,292.0,7308.0
2025-11-30,Nov 2025,0,Mansoura 130,34550.0,34000.0,0.0,292.0,258.0
2025-11-30,Nov 2025,0,Mauither 21,28000.0,20000.0,0.0,0.0,8000.0
2025-11-30,Nov 2025,0,Old Al Ghanim 48,63600.0,52000.0,0.0,0.0,11600.0
2025-11-30,Nov 2025,0,Thumama 20,14400.0,0.0,3662.0,292.0,10446.0
2025-11-30,Nov 2025,0,Thumama 66,19100.0,14000.0,5637.0,0.0,-537.0
2025-11-30,Nov 2025,0,Thumama 68,12633.0,14000.0,4550.0,364.0,-6281.0
2025-11-30,Nov 2025,0,Ummu Guwailina 169,34600.0,0.0,0.0,0.0,34600.0
2025-12-31,Dec 2025,0,Ain Khalid 12,29800.0,18000.0,2946.0,0.0,8854.0
2025-12-31,Dec 2025,0,Doha Jadeed 21,88400.0,78000.0,0.0,0.0,10400.0
2025-12-31,Dec 2025,0,Mathar Qadeem 56,22600.0,15000.0,0.0,583.0,7017.0
2025-12-31,Dec 2025,0,Mansoura 130,37300.0,34000.0,0.0,0.0,3300.0
2025-12-31,Dec 2025,0,Mauither 21,28000.0,20000.0,0.0,0.0,8000.0
2025-12-31,Dec 2025,0,Old Al Ghanim 48,63600.0,52000.0,0.0,0.0,11600.0
2025-12-31,Dec 2025,0,Thumama 20,18200.0,39000.0,0.0,0.0,-20800.0
2025-12-31,Dec 2025,0,Thumama 66,16400.0,14000.0,0.0,0.0,2400.0
2025-12-31,Dec 2025,0,Thumama 68,18300.0,14000.0,0.0,0.0,4300.0
2025-12-31,Dec 2025,0,Ummu Guwailina 169,33500.0,0.0,0.0,0.0,33500.0
2026-01-31,Jan 2026,0,Ain Khalid 12,26400.0,18000.0,4531.0,0.0,3869.0
2026-01-31,Jan 2026,0,Doha Jadeed 21,75800.0,78000.0,2341.0,0.0,-4541.0
2026-01-31,Jan 2026,0,Mathar Qadeem 56,20500.0,15000.0,3833.0,583.0,1084.0
2026-01-31,Jan 2026,0,Mansoura 130,45100.0,34000.0,0.0,0.0,11100.0
2026-01-31,Jan 2026,0,Mauither 21,28000.0,20000.0,0.0,0.0,8000.0
2026-01-31,Jan 2026,0,Old Al Ghanim 48,63600.0,52000.0,0.0,0.0,11600.0
2026-01-31,Jan 2026,0,Thumama 20,21000.0,0.0,3362.0,0.0,17638.0
2026-01-31,Jan 2026,0,Thumama 66,20250.0,14000.0,4693.0,0.0,1557.0
2026-01-31,Jan 2026,0,Thumama 68,19600.0,14000.0,2185.0,0.0,3415.0
2026-01-31,Jan 2026,0,Ummu Guwailina 169,34900.0,0.0,0.0,0.0,34900.0
2026-02-28,Feb 2026,0,Ain Khalid 12,26400.0,18000.0,2308.0,0.0,6092.0
2026-02-28,Feb 2026,0,Doha Jadeed 21,86900.0,78000.0,0.0,0.0,8900.0
2026-02-28,Feb 2026,0,Mathar Qadeem 56,22500.0,15000.0,97.0,292.0,7111.0
2026-02-28,Feb 2026,0,Mansoura 130,38900.0,34000.0,1080.0,0.0,3820.0
2026-02-28,Feb 2026,0,Mauither 21,28000.0,20000.0,0.0,0.0,8000.0
2026-02-28,Feb 2026,0,Old Al Ghanim 48,63600.0,52000.0,0.0,0.0,11600.0
2026-02-28,Feb 2026,0,Thumama 20,20000.0,0.0,1793.0,0.0,18207.0
2026-02-28,Feb 2026,0,Thumama 27,4500.0,0.0,0.0,0.0,4500.0
2026-02-28,Feb 2026,0,Thumama 66,20650.0,14000.0,1411.0,0.0,5239.0
2026-02-28,Feb 2026,0,Thumama 68,19800.0,14000.0,1573.0,0.0,4227.0
2026-02-28,Feb 2026,0,Ummu Guwailina 20,41100.0,39500.0,0.0,0.0,1600.0
2026-02-28,Feb 2026,0,Ummu Guwailina 169,36200.0,30000.0,2230.0,0.0,3970.0
2026-03-31,Mar 2026,0,Ain Khalid 12,29400.0,18000.0,2113.0,0.0,9287.0
2026-03-31,Mar 2026,0,Doha Jadeed 21,86900.0,78000.0,0.0,0.0,8900.0
2026-03-31,Mar 2026,0,Mathar Qadeem 56,21100.0,15000.0,0.0,0.0,6100.0
2026-03-31,Mar 2026,0,Mansoura 130,48850.0,34000.0,669.0,0.0,14181.0
2026-03-31,Mar 2026,0,Mauither 21,28000.0,20000.0,0.0,0.0,8000.0
2026-03-31,Mar 2026,0,Old Al Ghanim 48,63600.0,52000.0,0.0,0.0,11600.0
2026-03-31,Mar 2026,0,Thumama 20,21000.0,39000.0,0.0,0.0,-18000.0
2026-03-31,Mar 2026,0,Thumama 27,21700.0,25000.0,0.0,0.0,-3300.0
2026-03-31,Mar 2026,0,Thumama 66,21050.0,14000.0,0.0,0.0,7050.0
2026-03-31,Mar 2026,0,Thumama 68,19800.0,14000.0,0.0,0.0,5800.0
2026-03-31,Mar 2026,0,__MARKHIYA_MASTER__,248600.0,96000.0,0.0,0.0,152600.0
2026-03-31,Mar 2026,0,Ummu Guwailina 20,57100.0,56000.0,2081.0,0.0,-981.0
2026-03-31,Mar 2026,0,Ummu Guwailina 169,36200.0,30000.0,0.0,0.0,6200.0
2026-04-30,Apr 2026,0,Ain Khalid 12,29200.0,18000.0,0.0,0.0,11200.0
2026-04-30,Apr 2026,0,Doha Jadeed 21,98900.0,78000.0,0.0,0.0,20900.0
2026-04-30,Apr 2026,0,Mathar Qadeem 56,21100.0,15000.0,2479.0,584.0,3037.0
2026-04-30,Apr 2026,0,Mansoura 130,48900.0,34000.0,0.0,0.0,14900.0
2026-04-30,Apr 2026,0,Mauither 21,28000.0,20000.0,0.0,0.0,8000.0
2026-04-30,Apr 2026,0,Old Al Ghanim 48,63600.0,52000.0,0.0,0.0,11600.0
2026-04-30,Apr 2026,0,Thumama 20,8000.0,0.0,3490.0,0.0,4510.0
2026-04-30,Apr 2026,0,Thumama 27,30600.0,25000.0,1251.0,0.0,4349.0
2026-04-30,Apr 2026,0,Thumama 66,16550.0,14000.0,2178.0,0.0,372.0
2026-04-30,Apr 2026,0,Thumama 68,16500.0,14000.0,0.0,0.0,2500.0
2026-04-30,Apr 2026,0,__MARKHIYA_MASTER__,245675.0,0.0,29060.0,8771.0,207844.0
2026-04-30,Apr 2026,0,Ummu Guwailina 20,56700.0,0.0,0.0,0.0,56700.0
2026-04-30,Apr 2026,0,Ummu Guwailina 169,35600.0,30000.0,0.0,0.0,5600.0
2026-05-31,May 2026,0,Ain Khalid 12,29200.0,18000.0,5437.0,0.0,5763.0
2026-05-31,May 2026,0,Doha Jadeed 21,90724.0,48000.0,0.0,0.0,42724.0
2026-05-31,May 2026,0,Mathar Qadeem 56,18100.0,15000.0,0.0,0.0,3100.0
2026-05-31,May 2026,0,Mansoura 130,39400.0,34000.0,407.0,0.0,4993.0
2026-05-31,May 2026,0,Mauither 21,28000.0,20000.0,0.0,0.0,8000.0
2026-05-31,May 2026,0,Old Al Ghanim 48,63600.0,52000.0,0.0,0.0,11600.0
2026-05-31,May 2026,0,Thumama 20,22300.0,0.0,0.0,0.0,22300.0
2026-05-31,May 2026,0,Thumama 27,34750.0,25000.0,0.0,0.0,9750.0
2026-05-31,May 2026,0,Thumama 66,21050.0,14000.0,5015.0,0.0,2035.0
2026-05-31,May 2026,0,Thumama 68,17400.0,14000.0,0.0,0.0,3400.0
2026-05-31,May 2026,0,__MARKHIYA_MASTER__,211400.0,112000.0,6373.0,0.0,93027.0
2026-05-31,May 2026,0,Ummu Guwailina 20,46724.0,112000.0,2523.0,0.0,-67799.0
2026-05-31,May 2026,0,Ummu Guwailina 169,34200.0,30000.0,2719.0,0.0,1481.0
2026-06-30,Jun 2026,0,Ain Khalid 12,29200.0,18000.0,3642.0,0.0,7558.0
2026-06-30,Jun 2026,0,Doha Jadeed 21,85700.0,78000.0,0.0,0.0,7700.0
2026-06-30,Jun 2026,0,Mathar Qadeem 56,15200.0,15000.0,3766.0,0.0,-3566.0
2026-06-30,Jun 2026,0,Mansoura 130,43765.0,0.0,1083.0,0.0,42682.0
2026-06-30,Jun 2026,0,Mauither 21,19900.0,20000.0,0.0,0.0,-100.0
2026-06-30,Jun 2026,0,Old Al Ghanim 48,63600.0,52000.0,0.0,0.0,11600.0
2026-06-30,Jun 2026,0,Thumama 20,22800.0,39000.0,4167.0,0.0,-20367.0
2026-06-30,Jun 2026,0,Thumama 27,37950.0,25000.0,5129.0,0.0,7821.0
2026-06-30,Jun 2026,0,Thumama 66,18550.0,14000.0,0.0,0.0,4550.0
2026-06-30,Jun 2026,0,Thumama 68,17400.0,0.0,2533.0,0.0,14867.0
2026-06-30,Jun 2026,0,__MARKHIYA_MASTER__,183200.0,144000.0,0.0,0.0,39200.0
2026-06-30,Jun 2026,0,Ummu Guwailina 20,47424.0,56000.0,0.0,0.0,-8576.0
2026-06-30,Jun 2026,0,Ummu Guwailina 169,30550.0,30000.0,0.0,0.0,550.0
