period_end,label,is_lump,building,rent_received,owner_rent,kahrama,wifi,profit
2025-08-31,Aug 2025,1,Doha Al Jadeed 21,7900.00,28000.00,0.00,0.00,-20100.00
2025-08-31,Aug 2025,1,Thumama 20,7900.00,39000.00,0.00,0.00,-31100.00
2025-08-31,Aug 2025,1,Thumama 68,0.00,14000.00,0.00,0.00,-14000.00
2025-09-30,Sep 2025,0,Doha Al Jadeed 21,16600.00,0.00,0.00,0.00,16600.00
2025-09-30,Sep 2025,0,Thumama 20,15400.00,0.00,0.00,0.00,15400.00
2025-09-30,Sep 2025,0,Thumama 66,12850.00,0.00,0.00,0.00,12850.00
2025-09-30,Sep 2025,0,Thumama 68,7500.00,0.00,0.00,0.00,7500.00
2025-10-31,Oct 2025,0,Ain Khalid 12,0.00,0.00,395.66,15.55,-411.21
2025-10-31,Oct 2025,0,Doha Al Jadeed 21,33400.00,0.00,1761.05,69.33,31569.62
2025-10-31,Oct 2025,0,Mathar Qadeem 56,0.00,0.00,325.69,12.80,-338.49
2025-10-31,Oct 2025,0,Al Mansoura 130,0.00,0.00,738.24,29.02,-767.26
2025-10-31,Oct 2025,0,Muaither 21,0.00,0.00,434.26,17.07,-451.33
2025-10-31,Oct 2025,0,Al Ghanim Al Ateeq 48,0.00,0.00,1129.07,44.38,-1173.45
2025-10-31,Oct 2025,0,Thumama 20,11400.00,0.00,376.36,14.79,11008.85
2025-10-31,Oct 2025,0,Thumama 27,0.00,0.00,301.57,11.85,-313.42
2025-10-31,Oct 2025,0,Thumama 66,19100.00,0.00,303.98,11.95,18784.07
2025-10-31,Oct 2025,0,Thumama 68,11550.00,0.00,337.76,13.28,11198.96
2025-10-31,Oct 2025,0,Markhiya 12,0.00,0.00,154.40,6.07,-160.47
2025-10-31,Oct 2025,0,Markhiya 16,0.00,0.00,154.40,6.07,-160.47
2025-10-31,Oct 2025,0,Markhiya 17,0.00,0.00,154.40,6.07,-160.47
2025-10-31,Oct 2025,0,Markhiya 19,0.00,0.00,154.40,6.07,-160.47
2025-10-31,Oct 2025,0,Markhiya 20,0.00,0.00,154.40,6.07,-160.47
2025-10-31,Oct 2025,0,Markhiya 35,0.00,0.00,154.40,6.07,-160.47
2025-10-31,Oct 2025,0,Markhiya 37,0.00,0.00,154.40,6.07,-160.47
2025-10-31,Oct 2025,0,Markhiya 39,0.00,0.00,154.40,6.07,-160.47
2025-10-31,Oct 2025,0,Markhiya 45,0.00,0.00,154.40,6.07,-160.47
2025-10-31,Oct 2025,0,Markhiya 58,0.00,0.00,154.40,6.07,-160.47
2025-10-31,Oct 2025,0,Umm Guwailina 169,0.00,0.00,434.26,17.07,-451.33
2025-10-31,Oct 2025,0,Umm Guwailina 20,0.00,0.00,770.81,30.30,-801.11
2025-11-30,Nov 2025,0,Ain Khalid 12,29700.00,20000.00,395.66,15.55,9288.79
2025-11-30,Nov 2025,0,Doha Al Jadeed 21,94400.00,78000.00,1761.15,69.23,14569.62
2025-11-30,Nov 2025,0,Mathar Qadeem 56,22600.00,15000.00,325.69,12.80,7261.51
2025-11-30,Nov 2025,0,Al Mansoura 130,34550.00,34000.00,738.24,29.02,-217.26
2025-11-30,Nov 2025,0,Muaither 21,28000.00,20000.00,434.26,17.07,7548.67
2025-11-30,Nov 2025,0,Al Ghanim Al Ateeq 48,63600.00,52000.00,1129.07,44.38,10426.55
2025-11-30,Nov 2025,0,Thumama 20,14400.00,0.00,376.36,14.79,14008.85
2025-11-30,Nov 2025,0,Thumama 27,0.00,0.00,301.57,11.85,-313.42
2025-11-30,Nov 2025,0,Thumama 66,19100.00,14000.00,303.98,11.95,4784.07
2025-11-30,Nov 2025,0,Thumama 68,12633.00,14000.00,337.76,13.28,-1718.04
2025-11-30,Nov 2025,0,Markhiya 12,0.00,0.00,154.40,6.07,-160.47
2025-11-30,Nov 2025,0,Markhiya 16,0.00,0.00,154.40,6.07,-160.47
2025-11-30,Nov 2025,0,Markhiya 17,0.00,0.00,154.40,6.07,-160.47
2025-11-30,Nov 2025,0,Markhiya 19,0.00,0.00,154.40,6.07,-160.47
2025-11-30,Nov 2025,0,Markhiya 20,0.00,0.00,154.40,6.07,-160.47
