period_end,label,description,amount
2025-10-31,Jul-Oct 2025,A/C MAINTENANCE,2590.0
2025-10-31,Jul-Oct 2025,ADVERTISMENT EXPENSES,300.32
2025-10-31,Jul-Oct 2025,AIR CONDITION PURCHASE,9908.0
2025-10-31,Jul-Oct 2025,CLEANING & PEST CONTROL,1490.0
2025-10-31,Jul-Oct 2025,COMMISION - PROPERTIES,5010.0
2025-10-31,Jul-Oct 2025,FOOD EXPENSES,954.0
2025-10-31,Jul-Oct 2025,FUEL-VEHICLES,2709.0
2025-10-31,Jul-Oct 2025,GOVT EXPENSES (FEES),8700.0
2025-10-31,Jul-Oct 2025,INSURANCE-DOHA BANK,6570.0
2025-10-31,Jul-Oct 2025,KAHRAMA - DEPOSIT,2000.0
2025-10-31,Jul-Oct 2025,KEYMONEY PROPERTIES,49500.0
2025-10-31,Jul-Oct 2025,LABOUR CHARGES- OUTSIDE,8940.0
2025-10-31,Jul-Oct 2025,OFFICE EXPENSES,2892.0
2025-10-31,Jul-Oct 2025,OTHER  MAINTENANCE,38102.5
2025-10-31,Jul-Oct 2025,QID & VISA EXP-STAFFS,4277.0
2025-10-31,Jul-Oct 2025,SALARY -STAFFS,12000.0
2025-10-31,Jul-Oct 2025,SHARAF- PERSONAL  EXPENSES,1410.0
2025-10-31,Jul-Oct 2025,SHARAF-CAPITAL - ADJUSTMENT,350000.0
2025-10-31,Jul-Oct 2025,TRANSPORATION-WASTE,1200.0
2025-10-31,Jul-Oct 2025,VEHICLE MAINTENANCE,1400.0
2025-11-30,Nov 2025,A/C MAINTENANCE,6862.0
2025-11-30,Nov 2025,AIR CONDITION PURCHASE,8500.0
2025-11-30,Nov 2025,CLEANING & PEST CONTROL,620.0
2025-11-30,Nov 2025,COMMISION - PROPERTIES,1165.0
2025-11-30,Nov 2025,FOOD EXPENSES,482.5
2025-11-30,Nov 2025,FUEL-VEHICLES,3042.0
2025-11-30,Nov 2025,GOVT EXPENSES (FEES),2500.0
2025-11-30,Nov 2025,KEYMONEY PROPERTIES,21250.0
2025-11-30,Nov 2025,KHAYAZ CAPITAL ADJUSTMENT,750.0
2025-11-30,Nov 2025,LABOUR CHARGES- OUTSIDE,1800.0
2025-11-30,Nov 2025,OFFICE EXPENSES,4793.0
2025-11-30,Nov 2025,OFFICE RENT,22000.0
2025-11-30,Nov 2025,OFFICE TEL&WIFI,1059.0
2025-11-30,Nov 2025,OTHER  MAINTENANCE,14026.0
2025-11-30,Nov 2025,QID & VISA EXP-STAFFS,3500.0
2025-11-30,Nov 2025,RENT A CAR EXPENSES,1000.0
2025-11-30,Nov 2025,SALARY -STAFFS,4000.0
2025-11-30,Nov 2025,SHARAF- PERSONAL  EXPENSES,7861.0
2025-11-30,Nov 2025,SHARAF-CAPITAL - ADJUSTMENT,464750.0
2025-11-30,Nov 2025,TICKET STAFFS,2100.0
2025-11-30,Nov 2025,TRANSPORATION-WASTE,1934.0
2025-11-30,Nov 2025,VEHICLE MAINTENANCE,1079.0
2025-11-30,Nov 2025,WATCHMAN,500.0
2025-12-31,Dec 2025,A/C MAINTENANCE,3790.0
2025-12-31,Dec 2025,AIR CONDITION PURCHASE,6500.0
2025-12-31,Dec 2025,CLEANING & PEST CONTROL,870.0
2025-12-31,Dec 2025,COMMISION - PROPERTIES,215.0
2025-12-31,Dec 2025,FOOD EXPENSES,49.0
2025-12-31,Dec 2025,FUEL-VEHICLES,2578.0
2025-12-31,Dec 2025,INSURANCE-DOHA BANK,13140.0
2025-12-31,Dec 2025,KEYMONEY PROPERTIES,194430.0
2025-12-31,Dec 2025,LABOUR CHARGES- OUTSIDE,900.0
2025-12-31,Dec 2025,OFFICE EXPENSES,3294.0
2025-12-31,Dec 2025,OFFICE RENT,22000.0
2025-12-31,Dec 2025,OTHER  MAINTENANCE,7773.0
2025-12-31,Dec 2025,QID & VISA EXP-STAFFS,2440.0
2025-12-31,Dec 2025,RENT A CAR,2000.0
2025-12-31,Dec 2025,SALARY -STAFFS,26545.0
2025-12-31,Dec 2025,SECURITY DEPOSIT-REFUND,3750.0
2025-12-31,Dec 2025,SHARAF- PERSONAL  EXPENSES,300.0
2025-12-31,Dec 2025,TRANSPORATION-WASTE,275.0
2025-12-31,Dec 2025,VEHICLE MAINTENANCE,1620.0
2025-12-31,Dec 2025,WATCHMAN,500.0
2025-12-31,Dec 2025,WIFI&MOBILE-OFFICE&UNITS,1953.0
2026-01-31,Jan 2026,A/C MAINTENANCE,3790.0
2026-01-31,Jan 2026,BANK CHARGES,900.0
2026-01-31,Jan 2026,CLEANING & PEST CONTROL,1185.0
2026-01-31,Jan 2026,FOOD EXPENSES,3687.0
2026-01-31,Jan 2026,FUEL-VEHICLES,2788.0
2026-01-31,Jan 2026,KAHRAMA-OFFICE,2768.0
2026-01-31,Jan 2026,KEYMONEY PROPERTIES,17500.0
