month,source_period,building,amount,remarks
2025-10-01,July to Oct 25,MR-130,27000.00,GHARAFA
2025-10-01,July to Oct 25,TV-20,6500.00,GHARAFA
2025-10-01,July to Oct 25,TV-66,7000.00,GHARAFA
2025-10-01,July to Oct 25,TV-68,7000.00,GHARAFA
2025-10-01,July to Oct 25,OTHER PROPERTIES,2000.00,GHARAFA
2025-11-01,Nov 25,AK-12,92950.00,
2025-11-01,Nov 25,DAJ-21,92950.00,
2025-11-01,Nov 25,MQ-56,92950.00,
2025-11-01,Nov 25,MR-130,25000.00,
2025-11-01,Nov 25,MT-21,92950.00,
2025-11-01,Nov 25,OG-48,92950.00,
2025-12-01,Dec 25,MR-130,2000.00,"SHAKAMA 120K + 4.43K,AZIZIYA 50K"
2025-12-01,Dec 25,UG-20,18000.00,"SHAKAMA 120K + 4.43K,AZIZIYA 50K"
2025-12-01,Dec 25,OTHER PROPERTIES,174430.00,"SHAKAMA 120K + 4.43K,AZIZIYA 50K"
2026-01-01,Jan 26,MR-130,5000.00,
2026-01-01,Jan 26,TV-27,12500.00,
2026-02-01,Feb 26,TWR-10 VILLAS,10000.00,
2026-02-01,Feb 26,UG-20,14000.00,
2026-03-01,Mar 26,OG-48,3500.00,"SHAKAMA 20K,AZIZIYA 3K"
2026-03-01,Mar 26,TWR-10 VILLAS,200000.00,"SHAKAMA 20K,AZIZIYA 3K"
2026-03-01,Mar 26,OTHER PROPERTIES,5000.00,"SHAKAMA 20K,AZIZIYA 3K"
2026-04-01,Apr 26,TWR-10 VILLAS,310000.00,
2026-04-01,Apr 26,OTHER PROPERTIES,23000.00,
2026-05-01,May 26,TWR-10 VILLAS,100000.00,
2026-07-01,Jul 26,OTHER PROPERTIES,2871.00,SHAKAMA
