period,expense_head,amount,cost_center,basis,source_description,remarks
2025-10-01,Building AC Maintenance,222.12,AK-12,Building,AIN KHALID-12,"Expense workbook V3, Building sheet row 5"
2025-11-01,Building AC Maintenance,222.12,AK-12,Building,AIN KHALID-12,"Expense workbook V3, Building sheet row 5"
2025-12-01,Building AC Maintenance,222.12,AK-12,Building,AIN KHALID-12,"Expense workbook V3, Building sheet row 5"
2026-01-01,Building AC Maintenance,222.12,AK-12,Building,AIN KHALID-12,"Expense workbook V3, Building sheet row 5"
2026-02-01,Building AC Maintenance,222.12,AK-12,Building,AIN KHALID-12,"Expense workbook V3, Building sheet row 5"
2026-03-01,Building AC Maintenance,222.12,AK-12,Building,AIN KHALID-12,"Expense workbook V3, Building sheet row 5"
2026-04-01,Building AC Maintenance,222.12,AK-12,Building,AIN KHALID-12,"Expense workbook V3, Building sheet row 5"
2026-05-01,Building AC Maintenance,222.12,AK-12,Building,AIN KHALID-12,"Expense workbook V3, Building sheet row 5"
2026-06-01,Building AC Maintenance,222.12,AK-12,Building,AIN KHALID-12,"Expense workbook V3, Building sheet row 5"
2026-07-01,Building AC Maintenance,222.12,AK-12,Building,AIN KHALID-12,"Expense workbook V3, Building sheet row 5"
2025-10-01,Building AC Maintenance,984.92,DAJ-21,Building,DOHA AL JADEEDA-21,"Expense workbook V3, Building sheet row 6; carries QAR -3.80 so the head ties to the books (the sheet's percentages do not add exactly)"
2025-11-01,Building AC Maintenance,988.72,DAJ-21,Building,DOHA AL JADEEDA-21,"Expense workbook V3, Building sheet row 6"
2025-12-01,Building AC Maintenance,988.72,DAJ-21,Building,DOHA AL JADEEDA-21,"Expense workbook V3, Building sheet row 6"
2026-01-01,Building AC Maintenance,988.72,DAJ-21,Building,DOHA AL JADEEDA-21,"Expense workbook V3, Building sheet row 6"
2026-02-01,Building AC Maintenance,988.72,DAJ-21,Building,DOHA AL JADEEDA-21,"Expense workbook V3, Building sheet row 6"
2026-03-01,Building AC Maintenance,988.72,DAJ-21,Building,DOHA AL JADEEDA-21,"Expense workbook V3, Building sheet row 6"
2026-04-01,Building AC Maintenance,988.72,DAJ-21,Building,DOHA AL JADEEDA-21,"Expense workbook V3, Building sheet row 6"
2026-05-01,Building AC Maintenance,988.72,DAJ-21,Building,DOHA AL JADEEDA-21,"Expense workbook V3, Building sheet row 6"
2026-06-01,Building AC Maintenance,988.72,DAJ-21,Building,DOHA AL JADEEDA-21,"Expense workbook V3, Building sheet row 6"
2026-07-01,Building AC Maintenance,988.72,DAJ-21,Building,DOHA AL JADEEDA-21,"Expense workbook V3, Building sheet row 6"
2025-10-01,Building AC Maintenance,414.45,MR-130,Building,MANSOURA - 130,"Expense workbook V3, Building sheet row 7"
2025-11-01,Building AC Maintenance,414.45,MR-130,Building,MANSOURA - 130,"Expense workbook V3, Building sheet row 7"
2025-12-01,Building AC Maintenance,414.45,MR-130,Building,MANSOURA - 130,"Expense workbook V3, Building sheet row 7"
2026-01-01,Building AC Maintenance,414.45,MR-130,Building,MANSOURA - 130,"Expense workbook V3, Building sheet row 7"
2026-02-01,Building AC Maintenance,414.45,MR-130,Building,MANSOURA - 130,"Expense workbook V3, Building sheet row 7"
2026-03-01,Building AC Maintenance,414.45,MR-130,Building,MANSOURA - 130,"Expense workbook V3, Building sheet row 7"
2026-04-01,Building AC Maintenance,414.45,MR-130,Building,MANSOURA - 130,"Expense workbook V3, Building sheet row 7"
2026-05-01,Building AC Maintenance,414.45,MR-130,Building,MANSOURA - 130,"Expense workbook V3, Building sheet row 7"
2026-06-01,Building AC Maintenance,414.45,MR-130,Building,MANSOURA - 130,"Expense workbook V3, Building sheet row 7"
2026-07-01,Building AC Maintenance,414.45,MR-130,Building,MANSOURA - 130,"Expense workbook V3, Building sheet row 7"
2025-10-01,Building AC Maintenance,182.85,MQ-56,Building,MATHAR QADEEM -56,"Expense workbook V3, Building sheet row 8"
2025-11-01,Building AC Maintenance,182.85,MQ-56,Building,MATHAR QADEEM -56,"Expense workbook V3, Building sheet row 8"
2025-12-01,Building AC Maintenance,182.85,MQ-56,Building,MATHAR QADEEM -56,"Expense workbook V3, Building sheet row 8"
2026-01-01,Building AC Maintenance,182.85,MQ-56,Building,MATHAR QADEEM -56,"Expense workbook V3, Building sheet row 8"
2026-02-01,Building AC Maintenance,182.85,MQ-56,Building,MATHAR QADEEM -56,"Expense workbook V3, Building sheet row 8"
2026-03-01,Building AC Maintenance,182.85,MQ-56,Building,MATHAR QADEEM -56,"Expense workbook V3, Building sheet row 8"
2026-04-01,Building AC Maintenance,182.85,MQ-56,Building,MATHAR QADEEM -56,"Expense workbook V3, Building sheet row 8"
2026-05-01,Building AC Maintenance,182.85,MQ-56,Building,MATHAR QADEEM -56,"Expense workbook V3, Building sheet row 8"
2026-06-01,Building AC Maintenance,182.85,MQ-56,Building,MATHAR QADEEM -56,"Expense workbook V3, Building sheet row 8"
2026-07-01,Building AC Maintenance,182.85,MQ-56,Building,MATHAR QADEEM -56,"Expense workbook V3, Building sheet row 8"
2025-10-01,Building AC Maintenance,243.79,MT-21,Building,MUAITHER-21,"Expense workbook V3, Building sheet row 9"
2025-11-01,Building AC Maintenance,243.79,MT-21,Building,MUAITHER-21,"Expense workbook V3, Building sheet row 9"
2025-12-01,Building AC Maintenance,243.79,MT-21,Building,MUAITHER-21,"Expense workbook V3, Building sheet row 9"
2026-01-01,Building AC Maintenance,243.79,MT-21,Building,MUAITHER-21,"Expense workbook V3, Building sheet row 9"
2026-02-01,Building AC Maintenance,243.79,MT-21,Building,MUAITHER-21,"Expense workbook V3, Building sheet row 9"
2026-03-01,Building AC Maintenance,243.79,MT-21,Building,MUAITHER-21,"Expense workbook V3, Building sheet row 9"
2026-04-01,Building AC Maintenance,243.79,MT-21,Building,MUAITHER-21,"Expense workbook V3, Building sheet row 9"
2026-05-01,Building AC Maintenance,243.79,MT-21,Building,MUAITHER-21,"Expense workbook V3, Building sheet row 9"
2026-06-01,Building AC Maintenance,243.79,MT-21,Building,MUAITHER-21,"Expense workbook V3, Building sheet row 9"
2026-07-01,Building AC Maintenance,243.79,MT-21,Building,MUAITHER-21,"Expense workbook V3, Building sheet row 9"
2025-10-01,Building AC Maintenance,633.86,OG-48,Building,OLD AL GHANIM-48,"Expense workbook V3, Building sheet row 10"
2025-11-01,Building AC Maintenance,633.86,OG-48,Building,OLD AL GHANIM-48,"Expense workbook V3, Building sheet row 10"
2025-12-01,Building AC Maintenance,633.86,OG-48,Building,OLD AL GHANIM-48,"Expense workbook V3, Building sheet row 10"
2026-01-01,Building AC Maintenance,633.86,OG-48,Building,OLD AL GHANIM-48,"Expense workbook V3, Building sheet row 10"
2026-02-01,Building AC Maintenance,633.86,OG-48,Building,OLD AL GHANIM-48,"Expense workbook V3, Building sheet row 10"
