building,period,accrued_on,amount,paid_on,paid_amount,mode,remarks
AK-12,2025-11-01,2025-11-01,20000.00,2025-11-01,20000.00,Cheque,Head lease AK-12. PAID_ON ASSUMED = accrual date; correct from the landlord cheque book.
AK-12,2025-12-01,2025-12-01,18000.00,2025-12-01,18000.00,Cheque,Head lease AK-12. PAID_ON ASSUMED = accrual date; correct from the landlord cheque book.
AK-12,2026-01-01,2026-01-01,18000.00,2026-01-01,18000.00,Cheque,Head lease AK-12. PAID_ON ASSUMED = accrual date; correct from the landlord cheque book.
AK-12,2026-02-01,2026-02-01,18000.00,2026-02-01,18000.00,Cheque,Head lease AK-12. PAID_ON ASSUMED = accrual date; correct from the landlord cheque book.
AK-12,2026-03-01,2026-03-01,18000.00,2026-03-01,18000.00,Cheque,Head lease AK-12. PAID_ON ASSUMED = accrual date; correct from the landlord cheque book.
AK-12,2026-04-01,2026-04-01,18000.00,2026-04-01,18000.00,Cheque,Head lease AK-12. PAID_ON ASSUMED = accrual date; correct from the landlord cheque book.
AK-12,2026-05-01,2026-05-01,18000.00,2026-05-01,18000.00,Cheque,Head lease AK-12. PAID_ON ASSUMED = accrual date; correct from the landlord cheque book.
AK-12,2026-06-01,2026-06-01,18000.00,2026-06-01,18000.00,Cheque,Head lease AK-12. PAID_ON ASSUMED = accrual date; correct from the landlord cheque book.
AK-12,2026-07-01,2026-07-01,18000.00,2026-07-01,18000.00,Cheque,Head lease AK-12. PAID_ON ASSUMED = accrual date; correct from the landlord cheque book.
DAJ-21,2025-10-01,2025-10-01,28000.00,2025-10-01,28000.00,Cheque,Aug-Oct 2025 combined into one posting by the source. Head lease DAJ-21. PAID_ON ASSUMED = accrual date; correct from the landlord cheque book.
DAJ-21,2025-11-01,2025-11-01,78000.00,2025-11-01,78000.00,Cheque,Head lease DAJ-21. PAID_ON ASSUMED = accrual date; correct from the landlord cheque book.
DAJ-21,2025-12-01,2025-12-01,78000.00,2025-12-01,78000.00,Cheque,Head lease DAJ-21. PAID_ON ASSUMED = accrual date; correct from the landlord cheque book.
DAJ-21,2026-01-01,2026-01-01,78000.00,2026-01-01,78000.00,Cheque,Head lease DAJ-21. PAID_ON ASSUMED = accrual date; correct from the landlord cheque book.
DAJ-21,2026-02-01,2026-02-01,78000.00,2026-02-01,78000.00,Cheque,Head lease DAJ-21. PAID_ON ASSUMED = accrual date; correct from the landlord cheque book.
DAJ-21,2026-03-01,2026-03-01,78000.00,2026-03-01,78000.00,Cheque,Head lease DAJ-21. PAID_ON ASSUMED = accrual date; correct from the landlord cheque book.
DAJ-21,2026-04-01,2026-04-01,78000.00,2026-04-01,78000.00,Cheque,Head lease DAJ-21. PAID_ON ASSUMED = accrual date; correct from the landlord cheque book.
DAJ-21,2026-05-01,2026-05-01,78000.00,2026-05-01,78000.00,Cheque,Head lease DAJ-21. PAID_ON ASSUMED = accrual date; correct from the landlord cheque book.
DAJ-21,2026-06-01,2026-06-01,78000.00,2026-06-01,78000.00,Cheque,Head lease DAJ-21. PAID_ON ASSUMED = accrual date; correct from the landlord cheque book.
DAJ-21,2026-07-01,2026-07-01,78000.00,2026-07-01,28000.00,Cheque,"UNPAID 50000.00 at 31-Jul-2026 (Jul-2026 balance, HOLD BY OWNER). Head lease DAJ-21. PAID_ON ASSUMED = accrual date; correct from the landlord cheque book."
MQ-56,2025-11-01,2025-11-01,15000.00,2025-11-01,15000.00,Cheque,Head lease MQ-56. PAID_ON ASSUMED = accrual date; correct from the landlord cheque book.
MQ-56,2025-12-01,2025-12-01,15000.00,2025-12-01,15000.00,Cheque,Head lease MQ-56. PAID_ON ASSUMED = accrual date; correct from the landlord cheque book.
MQ-56,2026-01-01,2026-01-01,15000.00,2026-01-01,15000.00,Cheque,Head lease MQ-56. PAID_ON ASSUMED = accrual date; correct from the landlord cheque book.
MQ-56,2026-02-01,2026-02-01,15000.00,2026-02-01,15000.00,Cheque,Head lease MQ-56. PAID_ON ASSUMED = accrual date; correct from the landlord cheque book.
MQ-56,2026-03-01,2026-03-01,15000.00,2026-03-01,15000.00,Cheque,Head lease MQ-56. PAID_ON ASSUMED = accrual date; correct from the landlord cheque book.
MQ-56,2026-04-01,2026-04-01,15000.00,2026-04-01,15000.00,Cheque,Head lease MQ-56. PAID_ON ASSUMED = accrual date; correct from the landlord cheque book.
MQ-56,2026-05-01,2026-05-01,15000.00,2026-05-01,15000.00,Cheque,Head lease MQ-56. PAID_ON ASSUMED = accrual date; correct from the landlord cheque book.
MQ-56,2026-06-01,2026-06-01,15000.00,2026-06-01,15000.00,Cheque,Head lease MQ-56. PAID_ON ASSUMED = accrual date; correct from the landlord cheque book.
MQ-56,2026-07-01,2026-07-01,15000.00,2026-07-01,15000.00,Cheque,Head lease MQ-56. PAID_ON ASSUMED = accrual date; correct from the landlord cheque book.
MR-130,2025-11-01,2025-11-01,34000.00,2025-11-01,34000.00,Cheque,Head lease MR-130. PAID_ON ASSUMED = accrual date; correct from the landlord cheque book.
MR-130,2025-12-01,2025-12-01,34000.00,2025-12-01,34000.00,Cheque,Head lease MR-130. PAID_ON ASSUMED = accrual date; correct from the landlord cheque book.
MR-130,2026-01-01,2026-01-01,34000.00,2026-01-01,34000.00,Cheque,Head lease MR-130. PAID_ON ASSUMED = accrual date; correct from the landlord cheque book.
MR-130,2026-02-01,2026-02-01,34000.00,2026-02-01,34000.00,Cheque,Head lease MR-130. PAID_ON ASSUMED = accrual date; correct from the landlord cheque book.
MR-130,2026-03-01,2026-03-01,34000.00,2026-03-01,34000.00,Cheque,Head lease MR-130. PAID_ON ASSUMED = accrual date; correct from the landlord cheque book.
MR-130,2026-04-01,2026-04-01,34000.00,2026-04-01,34000.00,Cheque,Head lease MR-130. PAID_ON ASSUMED = accrual date; correct from the landlord cheque book.
MR-130,2026-05-01,2026-05-01,34000.00,2026-05-01,34000.00,Cheque,Head lease MR-130. PAID_ON ASSUMED = accrual date; correct from the landlord cheque book.
MR-130,2026-06-01,2026-06-01,34000.00,2026-06-01,34000.00,Cheque,Head lease MR-130. PAID_ON ASSUMED = accrual date; correct from the landlord cheque book.
MR-130,2026-07-01,2026-07-01,34000.00,,0.00,Cheque,UNPAID 34000.00 at 31-Jul-2026 (Jul-2026 balance). Head lease MR-130. PAID_ON ASSUMED = accrual date; correct from the landlord cheque book.
MT-21,2025-11-01,2025-11-01,20000.00,2025-11-01,20000.00,Cheque,Head lease MT-21. PAID_ON ASSUMED = accrual date; correct from the landlord cheque book.
MT-21,2025-12-01,2025-12-01,20000.00,2025-12-01,20000.00,Cheque,Head lease MT-21. PAID_ON ASSUMED = accrual date; correct from the landlord cheque book.
MT-21,2026-01-01,2026-01-01,20000.00,2026-01-01,20000.00,Cheque,Head lease MT-21. PAID_ON ASSUMED = accrual date; correct from the landlord cheque book.
